True\Predicted,banana,harddisk,pouch,ruler,vessel,watch
banana,0,0,0,0,0,0
harddisk,0,0,0,0,0,0
pouch,0,0,0,0,0,0
ruler,0,0,0,2,0,0
vessel,0,0,0,0,0,0
watch,0,0,0,0,0,0
Accuracy,100%
