pouch,2.57581,0.894882,0.924511,0.245311,0.0335166
pouch,2.5656,0.885452,0.9246,0.245251,0.0335228
pouch,2.98823,0.86973,0.944974,0.274667,0.0490885
pouch,2.63538,0.895974,0.929018,0.251559,0.0364682
pouch,2.78528,0.84458,0.936204,0.262237,0.0418512
pouch,2.4136,0.872998,0.915674,0.233934,0.0285154
harddisk,1.36481,0.953956,0.69522,0.175134,0.00311494
harddisk,1.41894,0.947898,0.72694,0.177555,0.00406542
harddisk,1.42676,0.931405,0.725504,0.176608,0.0039792
harddisk,1.34266,0.916215,0.697066,0.174995,0.00315382
harddisk,1.51355,0.948594,0.74397,0.179504,0.00471767
vessel,1.7176,0.50192,0.8858,0.275408,0.0316147
vessel,2.06095,0.529364,0.91173,0.293803,0.0436651
vessel,2.24319,0.599775,0.916614,0.267949,0.0376764
vessel,1.82307,0.495231,0.896701,0.308616,0.0430545
vessel,1.96487,0.56685,0.919456,0.30688,0.0504889
banana,1.37882,0.481501,0.853851,0.289277,0.0275365
banana,1.45965,0.499324,0.861928,0.273855,0.026194
banana,1.39188,0.453266,0.854074,0.313256,0.0323439
banana,1.39387,0.479638,0.849561,0.301739,0.0290276
banana,1.47909,0.465528,0.872131,0.317406,0.0379439
ruler,8.56515,0.446898,0.992937,1.42233,1.91227
ruler,10.0723,0.57055,0.992974,1.43894,1.95775
ruler,9.09904,0.462295,0.993293,1.46413,2.03204
ruler,9.14102,0.52529,0.992709,1.29839,1.59062
ruler,8.67966,0.397538,0.993946,1.60384,2.45104
pouch,2.45021,0.893003,0.916126,0.235605,0.0290228
pouch,2.7376,0.8703,0.932095,0.254413,0.0381807
pouch,2.97269,0.881484,0.942389,0.268378,0.0459493
harddisk,1.42275,0.988518,0.712973,0.176761,0.00362842
harddisk,1.42269,0.986906,0.712642,0.176761,0.00361941
pouch,2.51142,0.921994,0.917085,0.237003,0.029581
pouch,2.99269,0.881928,0.942521,0.268438,0.0460163
pouch,2.67201,0.877081,0.927761,0.246713,0.0347442
harddisk,1.42046,0.994912,0.707898,0.176357,0.00347646
harddisk,1.46121,0.913361,0.727123,0.181496,0.00425371
harddisk,1.34852,0.961093,0.674187,0.173897,0.00261567
vessel,1.95991,0.586895,0.911857,0.282321,0.0403572
vessel,2.16279,0.582852,0.920072,0.28915,0.0450321
vessel,2.00134,0.59143,0.910996,0.275408,0.0381577
watch,4.43533,0.617754,0.986193,0.527156,0.249015
watch,4.43178,0.602117,0.986697,0.535464,0.257951
watch,4.496,0.634704,0.986189,0.520674,0.242922
ruler,9.21608,0.4699,0.993123,1.76356,2.94419
ruler,10.0347,0.514343,0.991732,1.46349,2.00525
ruler,9.48037,0.592995,0.992792,1.36842,1.76801
